book_id,rating,number_of_likes
1051588,5,19
462685,4,82
2843977,3,26
15594,2,16
94336,4,18
5735513,5,88
160965,4,76
17910573,5,22
15746882,4,22
17061489,5,18
349090,4,42
32718970,3,21
329326,5,63
6423507,0,11
20744130,1,7
33282947,0,16
15828545,3,3
6037288,1,0
5649581,0,60
7715163,2,57
99285,4,40
13058637,1,65
161000,1,41
420849,1,14
15721624,1,56
18295858,3,42
344474,1,11
5984292,5,2
24768,3,4
24796481,0,15
20696006,1,39
13278548,1,53
897717,2,23
16034814,0,92
3345,0,17
17156824,2,78
6850768,2,27
23152652,5,38
15811135,4,13
8565034,1,27
12408149,0,78
15793165,0,58
112803,5,12
1309025,0,12
33727,1,14
36208823,4,16
1321926,4,1
13539191,1,10
27796312,1,5
12393909,0,74
13516587,2,10
617708,4,90
7061732,5,58
8331609,3,77
2267195,3,41
9130129,0,5
24189224,3,82
3678651,3,23
65399,4,10
12295828,5,33
8492765,0,4
43723509,2,89
12540,4,5
17288596,4,9
35596177,1,18
676235,0,19
28259094,2,9
1171469,4,24
16109754,3,19
36388243,1,14
6234924,0,17
49458,3,54
5649581,4,9
26116430,4,62
41014762,4,23
36809135,1,20
24885790,4,77
19494,2,15
1291211,1,50
30968750,1,2
13257637,3,63
396266,2,93
10111087,5,91
8089,0,43
17900221,0,12
16282937,5,96
10516163,5,9
17182009,0,12
137883,0,19
10837174,1,73
15798442,3,9
6898528,3,43
28109691,1,19
25663626,1,30
20555962,4,3
7093,5,13
79936,5,40
23430998,3,6
3860977,0,100
16587763,2,27
40144459,5,11
17332207,4,29
13477510,2,59
27283758,0,15
10428803,0,48
13528331,4,29
16044953,0,11
393157,5,8
291895,0,52
22715913,1,20
7077917,5,19
6288033,0,88
111593,2,30
6532373,4,97
26028873,5,9
3029283,4,5
440777,0,38
11273366,4,8
35217468,3,11
18168637,2,9
23664520,1,60
17428643,2,86
15721,5,1
3100092,4,92
16102879,5,62
13496312,2,58
121749,4,10
77829,5,6
680154,2,90
11010324,3,10
10285881,2,20
26160162,5,29
18686810,5,76
40923,4,12
7767952,3,51
6424007,0,24
243397,0,34
22381326,3,46
18078559,2,10
28245707,4,14
42848671,3,5
9583227,1,38
5071312,2,73
22909644,4,7
11918,1,38
22707078,5,11
1194366,4,0
18527498,3,16
15793579,4,39
20763127,0,2
10801900,1,17
18838102,1,14
10196362,3,59
96337,3,18
9424053,0,19
17832339,5,60
5240,5,78
23286073,1,87
893731,1,20
154556,2,13
20484662,1,64
30649401,5,11
368468,0,31
7426970,4,80
18139107,0,90
19314428,0,6
13414810,2,9
6516978,3,28
6515834,5,10
145342,5,10
11499,4,48
23197209,4,13
7546,2,16
6066181,4,13
28243032,0,13
24901565,3,29
32320661,3,79
80081,3,86
102720,0,8
8274537,4,20
6043781,2,67
89840,1,13
397756,4,93
154798,0,38
26216087,4,4
29059,2,48
22543699,2,9
2964277,5,80
16050872,0,64
5240,2,98
33147637,4,8
28024,4,84
1800969,0,98
222093,4,4
17130504,1,56
577184,0,18
22601842,1,8
2827647,3,1
17369254,0,17
1200465,5,9
15846878,3,15
2824337,5,7
468488,4,3
26125352,1,71
22470,2,83
630361,2,25
40212272,3,99
208,2,28
18523601,0,2
19139026,5,89
13062508,5,1
106022,1,28
9998,3,26
36556222,0,29
17339827,1,8
27188165,2,48
17314996,2,62
19248320,2,15
550454,3,11
277634,4,8
20384954,1,11
17020,4,89
6598206,5,6
7457122,1,7
76706,2,91
10833756,3,10
26292467,0,16
9449401,0,9
63689,5,13
9314304,4,86
15829015,0,82
15797695,4,95
20493997,3,20
13624139,1,17
7467080,4,92
36977659,2,1
1394155,1,18
2369,1,14
15954544,0,3
21913812,3,15
13452967,3,14
17314410,0,15
7686368,2,12
16096102,2,9
25466124,3,1
15788244,2,93
411247,0,3
50781,1,34
12770990,1,92
25897236,2,51
187650,2,56
16048521,3,14
23654313,4,95
6697518,4,10
12349801,4,27
61903,3,22
10836471,0,13
29776246,1,15
32600758,5,86
35515088,4,57
20829260,5,23
83017,1,94
6281917,4,38
761668,5,80
38580144,5,94
26875004,3,47
30687235,0,86
22820335,5,25
273788,3,62
7962312,4,49
11788433,3,75
7070067,3,1
122649,4,74
5147191,4,13
45181,5,95
11468074,2,5
522780,5,97
3214657,5,4
12959266,0,21
6540352,3,38
12974770,5,17
8471387,0,51
17281447,4,18
40877170,0,58
10897866,3,3
6192573,5,2
8514027,1,89
5982436,2,67
77287,2,0
703847,1,24
7199,5,63
9640626,1,54
1144532,3,25
13278242,3,3
17840262,3,16
13092528,5,48
23854,3,7
15861491,0,1
41684,1,12
106096,4,24
7693972,5,11
2556204,0,3
17166220,0,40
22717308,0,89
15822709,4,19
12603783,4,10
9477028,1,96
19466843,3,92
10744752,4,40
5130,5,37
372268,3,0
10101733,4,6
326491,5,7
30597,0,6
18112803,0,4
37883600,5,81
55129,1,9
17413424,5,61
11927282,2,14
43204703,4,41
33540072,5,58
17879100,1,9
36608199,0,47
25898555,2,94
32071,3,20
7303068,2,41
6642331,5,37
552357,0,52
30977692,2,84
13173276,3,54
22044340,3,66
16103970,5,15
104535,4,34
20613642,3,9
2320230,1,88
18244432,4,19
25897236,5,48
15942633,5,73
65066,5,4
227636,5,18
29939353,3,7
7348445,3,33
17413427,3,17
106139,2,11
11031,5,56
41574072,4,10
28812129,1,81
17994785,1,75
22896437,3,7
8308527,4,43
23156540,5,5
1486138,4,15
3214291,0,72
22678141,4,36
18007838,2,67
30649795,5,0
24392748,0,68
542414,1,100
3322128,1,66
15712167,4,18
40036270,5,18
34750379,1,29
8515680,1,64
7976029,4,5
10238101,2,12
39725859,2,76
1159679,1,86
352774,1,34
18749172,5,72
21936857,2,11
21462695,3,15
7171882,2,27
11754793,0,39
2321296,1,45
5989573,0,6
2321296,4,13
36409909,0,66
38715458,2,18
7354831,1,14
40131614,2,17
25711588,4,42
22033888,2,74
142023,3,90
13595639,4,44
19082071,1,20
101911,4,1
17609789,5,24
4495776,0,2
978098,3,23
8462668,5,100
18873923,1,1
15177,1,18
28005152,3,0
25845201,0,84
21991208,4,26
17934498,3,29
2734973,0,70
25868425,2,9
25808712,3,76
7186,5,18
6352576,0,55
12475742,1,15
30220,2,13
20426102,2,99
12396846,5,18
27258116,0,100
20757521,5,86
508413,1,88
9776116,5,88
39874057,0,69
568901,0,97
2402650,5,22
24226116,1,88
14059115,2,13
20527595,5,12
7800188,1,3
7422957,4,71
24611962,4,76
15818820,2,9
133738,0,36
376585,1,20
33147637,5,69
61905,3,12
17211705,0,55
17334538,4,0
36608199,4,20
3269793,2,36
218659,1,29
39305,2,6
13414839,3,63
38600870,3,56
31304181,1,52
12715259,0,4
11523680,5,33
36678788,1,4
128453,3,96
512989,2,75
20893339,0,4
22691264,4,6
1979853,2,67
6614,1,32
15995198,2,58
13635662,5,4
31309440,3,51
13665053,4,6
508666,5,48
302176,1,5
23379428,5,33
243598,2,18
17339738,0,4
21469108,4,76
18761500,1,89
22638315,3,12
18485973,5,46
206868,2,6
41948511,1,97
25938417,0,80
8308527,1,52
18039197,4,35
54258,4,16
8660468,5,31
12387704,3,6
7242100,1,23
23349435,0,11
7311738,4,36
7286455,2,95
930428,0,10
4859743,4,56
20663769,2,16
14059909,4,24
12925063,4,18
690866,5,91
17200672,2,8
32469736,0,56
7090290,2,7
12742726,2,64
16143323,2,55
12109850,0,87
18680106,1,1
12983030,4,2
7507951,2,12
18667862,4,76
299514,5,51
18711993,1,17
13422043,3,67
9999,2,2
16139620,4,20
640565,3,2
2305,0,19
20359114,4,15
7061670,1,98
36209818,2,18
23602474,0,58
591355,3,43
18190566,1,1
12823636,2,34
25191279,4,91
27015399,0,13
12598553,4,13
37492308,4,11
14978954,2,48
15714476,1,75
22040598,0,19
4362,2,27
23503361,2,48
529701,1,82
218750,3,81
10755443,4,47
12368123,2,2
59263,4,66
13358275,1,50
33574127,1,87
20975446,4,20
22175011,0,4
18273785,3,78
17248403,1,73
21450782,1,5
28371999,1,53
20573324,1,4
2509481,3,8
7263429,5,14
12681111,2,70
977729,0,8
31538641,0,18
18762415,3,74
176964,2,12
10833756,2,0
351451,1,8
154472,1,18
223040,3,38
897461,3,28
2834214,2,33
15814557,0,8
29602483,4,13
36608199,1,3
582143,5,19
27484033,1,8
385028,3,90
3236798,3,3
12160890,4,15
18807408,0,8
11685192,3,75
1335019,4,82
34499902,1,54
96358,2,64
43313,0,1
16076787,4,19
13414830,1,1
36506910,0,100
17787059,0,18
23165581,1,13
39884755,2,16
190115,1,61
7315573,4,38
41726841,4,59
45978,5,95
8419428,5,12
119042,5,42
40411034,0,33
8697204,5,6
19444805,4,9
4204981,3,5
36950133,5,16
28216786,4,6
27083865,5,42
15781364,0,36
18681231,4,26
16111504,5,77
18243241,5,96
22557447,4,10
2509864,3,10
23223495,1,6
14942,3,6
354007,1,11
24872027,1,11
22041170,5,19
20890479,5,46
61904,3,74
36436246,3,25
36497618,5,14
425174,3,84
1003464,3,6
17211705,0,78
13592074,4,12
17841,5,18
20435872,0,2
351654,2,1
17232032,4,20
25685000,4,36
8765,4,8
9449401,4,60
357160,5,40
6609835,4,2
1838917,2,54
49440,3,24
9171404,0,87
76889,0,80
10753977,2,70
22471,1,96
20482734,4,19
253153,5,2
23843470,4,63
33855723,1,38
16587763,0,16
22046993,5,3
9065272,5,53
40491353,4,23
23259064,1,57
17977415,5,23
29430791,2,11
13633002,5,2
7857663,1,1
16062175,4,9
191548,2,73
99461,0,11
896621,3,19
40590283,5,86
15797693,4,21
399200,4,57
16328,2,29
15770316,5,46
13170037,1,6
10098912,4,59
135840,5,12
11375889,2,25
5295735,0,3
102847,3,9
3686,5,67
129343,2,20
14250,0,32
7871930,5,18
108681,4,57
10373553,4,46
15758643,3,63
23506484,1,1
994697,1,82
65399,0,33
24921954,3,13
595911,0,9
1779929,2,54
26168976,0,10
13830,1,10
427353,1,56
773454,2,40
22729384,1,51
17336455,1,8
3700085,5,81
11996019,4,39
13602393,5,54
18989438,5,26
21898304,3,91
284873,1,1
28120098,1,3
27833684,4,55
16072981,3,52
18459458,5,58
15886847,3,12
13437141,2,18
18281991,5,97
31847614,2,17
23259068,3,89
18171350,4,21
6468957,5,13
61449,4,79
16129915,1,5
6475299,3,84
38922850,4,17
23521215,4,23
13090675,2,1
15790886,3,29
11836562,2,61
26071568,1,5
20821265,2,0
190394,5,55
13056868,0,16
174084,5,13
3060904,5,17
32081,0,17
5641414,1,71
83060,5,79
18243325,1,11
18144031,1,50
23012505,1,60
12543,0,0
462685,4,5
25853049,0,4
27874227,4,80
17884102,1,92
35444008,1,68
5501230,3,6
17413424,4,11
18455357,0,7
18104062,1,0
33413919,0,16
502777,1,51
27411345,1,5
20729499,1,64
11706831,3,1
24508726,1,69
25584230,1,84
133782,0,59
18372675,0,96
29338547,5,31
18528310,1,4
32935069,3,4
23874411,5,22
883436,2,63
19486421,2,51
196743,2,99
33803113,5,69
5220293,4,6
31624,4,15
11028964,1,4
12125,1,85
3326341,2,5
17208264,3,11
22368622,2,5
19314543,2,9
13601144,3,1
20949471,0,70
512662,4,24
57950,3,11
10194183,2,0
18278874,3,37
20579291,1,22
17448097,2,27
20830614,3,2
16163245,3,78
29361425,3,84
25973476,2,8
19188,0,9
16055135,0,82
21491,5,16
23288809,4,6
11320138,5,81
2033013,1,16
10830285,5,62
40411034,2,20
9862105,4,9
6713071,3,18
26111096,0,18
9045547,1,58
29484541,5,30
976380,1,78
754581,2,14
1539025,4,66
472025,0,28
7500150,5,37
6629162,3,13
16067691,0,80
9856962,3,20
291895,2,75
42113238,2,88
18300412,3,90
16155612,1,24
15776953,3,16
12387007,1,11
22313181,5,26
21251323,2,45
16058764,2,7
10473080,2,22
23491607,2,68
6316171,5,34
34511,0,52
36840309,3,6
25161347,1,34
27126,5,19
9415946,3,67
16162405,0,72
248483,2,11
18662528,0,28
12987173,4,86
23624944,2,28
35661088,2,45
6276276,0,51
6604088,5,28
74274,4,83
39798154,0,15
23204200,3,17
11593977,3,52
11509159,1,3
18740748,5,10
15760897,4,97
15726478,1,12
54209,1,33
994823,0,63
9635114,3,90
27261345,2,43
29068281,1,25
5833419,3,87
3171815,1,79
23253279,4,75
6025739,1,58
20893339,5,16
632753,2,41
13616660,2,35
43446574,2,3
16149703,4,11
13539191,2,2
140412,5,93
23466640,5,14
2744959,2,90
857501,5,48
36347830,0,100
400412,1,83
8407173,0,5
21973246,0,99
12828201,3,56
21353509,2,10
17969495,3,71
25931693,4,71
21863930,3,11
25622782,0,3
187020,1,66
17619220,1,40
33540072,0,1
17288171,2,63
2135419,3,3
18850688,4,14
10118,4,18
18406625,1,30
364522,0,3
28791088,5,9
16167867,2,4
18134249,5,14
22091081,1,4
10131860,4,2
26047038,1,98
65349,4,72
10397655,1,17
10662433,0,44
10553215,3,2
207802,2,14
20059,5,62
2119409,0,57
9494168,5,12
41450662,3,37
6667485,0,90
974778,2,36
16199630,4,0
14739231,2,80
16729,0,32
72441,2,77
7137775,4,85
944555,4,21
13173938,0,20
141452,5,96
191411,5,99
15842655,2,86
17262103,1,20
23518312,3,9
432316,0,14
9729040,2,100
7561643,0,38
18478288,4,87
51537,3,9
1088471,1,21
15852756,4,4
18096111,2,87
22071815,3,10
24901565,5,99
13793402,2,67
29939027,2,30
17877463,2,1
25898555,3,83
227570,1,68
1157452,1,63
547094,1,71
13575706,4,19
23388792,3,96
1238684,4,59
5942552,3,3
6400109,2,20
23638850,1,16
13721335,5,8
13305712,3,5
13275639,3,21
26118426,2,23
32969701,1,6
91289,0,71
28961690,5,81
7143322,4,23
24847,1,13
260014,1,15
38903383,3,31
8035262,4,22
113091,1,29
7500893,1,78
820966,0,15
18108542,5,47
773507,3,6
3152265,1,96
9844,4,12
22071309,1,86
26165817,2,16
13721337,3,36
130115,0,18
1325218,0,69
1883838,0,36
40644351,4,8
319473,3,3
22033888,0,3
23989100,5,49
16103129,2,16
15700583,2,18
166123,1,3
16087848,5,60
11012,4,2
22841110,5,58
124982,1,16
11938752,0,11
21877212,5,25
6084532,5,20
10836471,0,56
34808499,2,10
9728761,5,34
32992663,5,23
77276,4,23
90749,3,16
544424,5,18
22608277,1,48
333301,0,37
7557262,2,14
9581507,4,78
142470,0,6
1309025,5,8
372268,0,95
1481902,4,17
444944,5,5
41744510,5,4
27276357,1,5
23207202,2,1
395112,4,60
14435190,3,18
6850768,5,94
22504499,4,12
40642114,4,91
11395597,5,20
13037527,3,42
118413,1,8
6954438,3,19
22614909,3,57
21843165,3,92
25812851,1,36
25898503,1,1
24820432,4,90
71969,2,23
124430,2,57
102142,1,72
7380662,2,6
199687,0,2
116866,2,39
4412611,0,11
18667792,2,10
9671968,4,35
22013353,2,14
13019704,1,10
10808013,0,55
1212868,1,74
7824768,4,18
29502065,3,10
18333656,5,21
4944721,4,85
22461120,3,8
10179053,1,75
15823952,0,24
551604,2,14
39068,5,30
106022,0,3
21915383,2,34
7703037,3,29
12439950,5,87
7863423,3,4
17934493,2,96
18711023,2,17
2989344,2,3
25022297,0,35
34736638,3,3
7976029,0,25
3124973,5,46
9917925,0,44
2618660,5,7
10583033,1,28
24796481,4,26
6218001,1,9
978098,1,12
11222190,0,69
164221,5,18
27310286,0,6
7160178,5,69
222093,1,8
29215777,4,15
33310128,2,2
682751,3,9
17863376,4,41
11782143,3,22
40985,3,77
2039223,4,40
25404499,5,22
11594414,2,39
30815927,4,3
5971786,2,6
102142,4,3
23453099,5,3
269860,0,92
5584576,0,11
15840057,0,9
21854602,5,41
10464963,5,6
6162873,4,5
201111,0,8
77152,2,16
27213208,2,92
17570093,1,37
13549029,4,91
352828,2,23
174879,4,5
112292,2,9
13436384,1,82
53007,5,79
18111165,4,6
23435950,3,57
502777,5,5
26219455,0,4
26796676,4,2
34839067,2,86
25489261,5,17
42772928,1,7
11827045,1,29
17993033,3,14
7907782,5,4
25622860,2,4
11734251,3,33
15808829,3,43
24699867,5,0
72159,5,32
11041148,4,21
123632,4,15
22537367,4,56
39978663,2,42
13185168,4,66
23340,0,15
18046700,1,39
13049981,1,4
24807186,4,23
24611425,4,8
1104540,5,96
36347611,1,0
1678741,1,1
1201724,1,59
23249644,1,10
17384515,0,12
30336955,4,0
40168069,3,84
1108124,0,1
6957725,0,71
16130,3,16
18739365,4,12
16243990,4,19
27161156,4,33
13645645,5,9
17027870,2,29
1024581,1,57
17840306,1,12
18393683,3,4
684924,0,4
6596594,2,67
8710740,4,65
25943007,2,7
7544517,4,52
9762,4,1
16112668,2,8
782930,5,98
6766006,5,25
40877170,2,62
130881,5,18
58823,1,43
11023952,3,82
9889782,3,11
6686092,4,13
40702672,2,4
25220487,2,4
20381983,4,20
140963,0,88
38720267,4,57
23286073,3,1
6424007,4,1
36432939,3,0
42505366,0,22
27867529,1,75
18364996,2,18
116866,4,16
40541901,0,16
9305362,4,7
10468701,3,20
415816,3,12
13375921,5,92
15710470,5,98
17315933,3,9
19504319,3,10
6323474,2,8
34052569,4,20
30735,4,25
119015,5,2
24493732,2,96
9399336,4,1
29751533,0,89
9439303,3,18
29226001,4,29
28429,1,12
13102041,0,17
939709,3,33
13253655,4,43
5002584,3,94
15830433,0,62
25502920,5,98
2873007,0,63
296468,4,71
25516651,1,64
40123526,1,69
39353216,0,42
2856157,4,17
9341394,0,100
6361563,4,14
927979,3,25
17981656,4,14
27833684,0,18
201111,0,35
6238524,4,71
6752378,3,17
11416792,3,78
38205303,3,9
148809,0,51
900,3,32
23669616,3,18
157551,1,79
18777107,0,50
27187111,0,85
17798233,3,3
21912114,1,56
17927626,4,94
938105,1,10
15728386,4,57
1594220,0,20
3295696,3,29
24522888,2,89
8725,0,7
7938275,1,80
10871446,2,11
1024204,5,9
17733971,5,23
133738,4,14
19305108,3,45
17286701,4,10
112110,5,5
8460546,1,22
18901156,5,7
712313,2,5
22883909,5,9
8659601,1,15
393157,3,15
13162861,1,54
17285883,1,9
1206073,5,0
607497,3,74
26111096,2,53
212615,0,9
27070127,5,14
6729300,3,15
25973476,3,65
29446748,0,100
8722,5,0
16035405,1,10
25867345,1,72
235117,4,9
17720829,2,3
18509671,0,71
36151853,0,23
18158307,3,46
7229730,1,6
6162873,1,6
1369510,1,76
6136499,1,5
2281814,4,12
236557,1,12
26807830,5,63
17404975,0,42
181428,0,60
2296567,3,79
97860,0,18
7976029,0,19
393157,2,11
12398627,3,59
377889,0,11
16170768,0,39
35274032,2,21
27886325,5,86
13414716,0,13
8379374,1,87
1828067,1,71
13287544,5,15
15796,2,1
16188,0,19
12821520,2,2
6305167,4,6
16065564,3,27
8665876,5,76
153219,1,96
5942991,1,53
762563,5,3
12925063,2,36
13143456,3,32
10813469,0,34
12856448,1,26
823198,4,68
25733442,4,10
36794521,4,80
8752907,0,58
24872027,3,4
303615,5,17
13,5,37
17185496,5,21
18219617,1,60
10161216,5,5
209571,5,2
45978,4,14
994823,0,28
112080,5,4
17800850,5,10
19477528,5,8
1422926,5,15
15704459,3,91
26027331,5,35
39092829,0,47
13559213,0,40
9650,5,11
107105,4,51
17866941,2,20
25516651,4,37
764332,0,39
23207202,3,70
27393815,4,65
6406946,5,12
22839429,4,82
36656611,1,13
2607485,2,90
6361563,3,49
10034,3,99
10345642,2,22
11761455,0,1
30152,4,19
36172319,1,84
23590496,1,28
2660720,1,21
2324416,4,11
5345,1,19
3430870,2,12
1243286,1,13
35524113,3,37
23545800,1,16
15747708,3,10
40603943,4,34
6413286,3,6
438452,3,20
24283,0,18
12603698,1,8
13083239,2,20
12879875,3,91
18163459,2,33
6381911,3,7
27864391,0,7
6282010,3,72
6070950,1,18
20869836,1,99
10997091,5,5
10605,2,25
23012505,1,9
25665016,0,2
8646223,2,41
21718,2,99
12535,0,77
1122534,1,18
20559676,4,10
13533650,2,95
311864,5,25
4988505,4,20
647492,0,25
23253557,3,52
16139294,3,20
20673285,0,93
38909528,4,54
10476984,4,57
17902,3,39
26114184,0,34
40052056,1,79
2056075,5,10
35185556,5,47
352774,1,25
112110,3,9
18463070,1,11
